Nama Obat,Harga Jual 1,Jenis Obat,Deskripsi
ADEM SARI SACHET 5,"3,500.00",BEBAS,"Minuman penyejuk yang mengandung ekstrak Citrus Aurantifolia dan ekstrak Alyxia stellata. Dilengkapi juga dengan kandungan vitamin C. Digunakan untuk meredakan gejala panas dalam, sakit tenggorokan, sariawan, bibir pecah-pecah dan susah buang air besar."
ASEDAS 60ML,"60,000.00",BEBAS,"Asedas merupakan suplemen dalam bentuk sirup untuk anak-anak yang mengandung vitamin serta mineral, memiliki manfaat dalam membantu untuk meningkatkan nafsu makan dan sebagai nutrisi otak pada anak"
AICARE THERMOMETER,"170,000.00",RESEP DOKTER,Alat kesehatan yang digunakan untuk mengukur suhu tubuh
AVESCO 20MG,"3,000.00",RESEP DOKTER,"Menurunkan kolesterol jahat (LDL) dan trigliserida, serta meningkatkan kadar kolesterol baik (HDL) di dalam darah. Avesco 20 mg bekerja dengan cara menghambat enzim yang bertugas memproduksi kolesterol di hati."
AVESCO 20MG BOX,"60,000.00",RESEP DOKTER,"Menurunkan kolesterol jahat (LDL) dan trigliserida, serta meningkatkan kadar kolesterol baik (HDL) di dalam darah. Avesco 20 mg bekerja dengan cara menghambat enzim yang bertugas memproduksi kolesterol di hati."
ASEPSO MOISTURE CARE,"13,000.00",BEBAS,Sabun antiseptik yang bermanfaat untuk mengurangi biang keringat dan membersihkan kulit dari kuman penyebab penyakit kulit.
ASEPSO SULPHUR,"11,000.00",BEBAS,"Sabun antiseptik dengan kandungan Sulfur & Salicylic Acid yang membantu membuka pori-pori kulit, membantu menghilangkan minyak berlebih dan membantu membersihkan kulit."
AD CYBER SONIC,"350,000.00",BEBAS,Alat Bantu Dengar merupakan hearing aid yang berfungsi memperbesar volume suara sehingga membantu si pemakai untuk mendengarkan suara lebih jelas.
AFIBRAMOL 60ML ANGGUR,"7,000.00",BEBAS,"Obat yang digunakan untuk membantu mengatasi nyeri ringan hingga sedang, serta menurunkan demam. Rasa anggur"
AFIBRAMOL 60ML APEL,"7,000.00",BEBAS,"Obat yang digunakan untuk membantu mengatasi nyeri ringan hingga sedang, serta menurunkan demam. Rasa apel"
AFIBRAMOL 60ML STRAWBERRY,"7,000.00",BEBAS,"Obat yang digunakan untuk membantu mengatasi nyeri ringan hingga sedang, serta menurunkan demam. Rasa strawberry"
AFIBRAMOL 60ML JERUK,"7,000.00",BEBAS,"Obat yang digunakan untuk membantu mengatasi nyeri ringan hingga sedang, serta menurunkan demam. Rasa jeruk"
ATORVASTATIN 20MG HJ,"22,500.00",RESEP DOKTER,"Obat untuk menurunkan kolesterol jahat (LDL) dan trigliserida, serta meningkatkan kadar kolesterol baik (HDL) di dalam darah. Jika kolesterol dalam darah tetap terjaga dalam kadar normal, risiko terjadinya stroke dan serangan jantung akan semakin rendah."
ATORVASTATIN 20MG HJ BOX ISI 3,"90,000.00",RESEP DOKTER,"Obat untuk menurunkan kolesterol jahat (LDL) dan trigliserida, serta meningkatkan kadar kolesterol baik (HDL) di dalam darah. Jika kolesterol dalam darah tetap terjaga dalam kadar normal, risiko terjadinya stroke dan serangan jantung akan semakin rendah."
ASPILETS 80MG,"12,500.00",RESEP DOKTER,"Obat tablet yang mengandung Acetylsaslicylic Acid 80 mg. Acetylsalicylic Acid atau dikenal juga dengan Aspirin merupakan senyawa analgesik non steroid yang digunakan sebagai analgesik, antipiretik, antiinflamasi dan anti-platelet. Obat ini digunakan untuk mencegah agregasi platelet pada kondisi angina yang tidak stabil dan serangan iskemik otak yang terjadi sesaat."
ASPILETS 80MG BOX,"75,000.00",RESEP DOKTER,"Obat tablet yang mengandung Acetylsaslicylic Acid 80 mg. Acetylsalicylic Acid atau dikenal juga dengan Aspirin merupakan senyawa analgesik non steroid yang digunakan sebagai analgesik, antipiretik, antiinflamasi dan anti-platelet. Obat ini digunakan untuk mencegah agregasi platelet pada kondisi angina yang tidak stabil dan serangan iskemik otak yang terjadi sesaat."
AMARYL M2 500 BOX ISI 30,"275,000.00",RESEP DOKTER,"Merangsang pankreas untuk memproduksi insulin, meningkatkan kerja dan aktivitas hormon insulin, dan menurunkan penyerapan gula di dalam usus."
AMARYL M2 500,"10,000.00",RESEP DOKTER,"Merangsang pankreas untuk memproduksi insulin, meningkatkan kerja dan aktivitas hormon insulin, dan menurunkan penyerapan gula di dalam usus."
AMARYL M1-250,"7,000.00",RESEP DOKTER,"Merangsang pankreas untuk memproduksi insulin, meningkatkan kerja dan aktivitas hormon insulin, dan menurunkan penyerapan gula di dalam usus."
AMARYL M1 250 BX,"160,000.00",RESEP DOKTER,"Merangsang pankreas untuk memproduksi insulin, meningkatkan kerja dan aktivitas hormon insulin, dan menurunkan penyerapan gula di dalam usus."
ANDALAN 3CC,"7,500.00",RESEP DOKTER,"Sebagai pil kontrasepsi untuk mencegah kehamilan pada wanita, dan mencegah kehamilan pada wanita pasca-menopause."
ANDALAN 3CC BOX,"135,000.00",RESEP DOKTER,"Sebagai pil kontrasepsi untuk mencegah kehamilan pada wanita, dan mencegah kehamilan pada wanita pasca-menopause."
ANDALAN PIL PAK,"15,000.00",RESEP DOKTER,"Sebagai pil kontrasepsi untuk mencegah kehamilan pada wanita, dan mencegah kehamilan pada wanita pasca-menopause."
ANDALAN PIL BOX ISI 15,"195,000.00",RESEP DOKTER,"Sebagai pil kontrasepsi untuk mencegah kehamilan pada wanita, dan mencegah kehamilan pada wanita pasca-menopause."
ANDALAN PIL STRIP,"8,000.00",RESEP DOKTER,"Sebagai pil kontrasepsi untuk mencegah kehamilan pada wanita, dan mencegah kehamilan pada wanita pasca-menopause."
ASMA SOLON ,"3,500.00",BEBAS,"Tablet untuk membantu meringankan sesak karena asma, bronkitis, dan gangguan pernafasan lain"
ASMA SOLON BOX,"65,000.00",BEBAS,"Tablet untuk membantu meringankan sesak karena asma, bronkitis, dan gangguan pernafasan lain"
ALLETROL TM,"15,000.00",BEBAS,"Obat yang digunakan untuk pengobatan penyakit mata terutama karena radang yang disertai infeksi bakteri uveitis anterior kronis dan luka pada kornea yang disebabkan oleh bahan kimia, radiasi, panas dan penetrasi benda-benda asing."
ALLETROL TM BOX,"295,000.00",BEBAS,"Obat yang digunakan untuk pengobatan penyakit mata terutama karena radang yang disertai infeksi bakteri uveitis anterior kronis dan luka pada kornea yang disebabkan oleh bahan kimia, radiasi, panas dan penetrasi benda-benda asing."
APPETON WG 450GR VANILLA,"385,000.00",BEBAS,Appeton Weight Gaint merupakan susu yang diformulasikan untuk menambah berat badan pada orang dewasa rasa vanilla 450GR.
APPETON WG 450GR COKLAT,"385,000.00",BEBAS,Appeton Weight Gaint merupakan susu yang diformulasikan untuk menambah berat badan pada orang dewasa rasa Coklat 450GR.
APPETON WG 900GR VANILLA,"775,000.00",BEBAS,Appeton Weight Gaint merupakan susu yang diformulasikan untuk menambah berat badan pada orang dewasa rasa vanilla 900GR.
APPETON WG 900GR COKLAT,"775,000.00",BEBAS,Appeton Weight Gaint merupakan susu yang diformulasikan untuk menambah berat badan pada orang dewasa rasa coklat 900GR.
APPETON 60 400GR,"360,000.00",BEBAS,Dilengkapi dengan mikronutrien dan makronutrien untuk memenuhi kebutuhan nutrisi harian dan mengurangi resiko kekurangan nutrisi.
ASTIKA,"8,000.00",RESEP DOKTER,Mengurangi risiko serangan infark miokard pada pasien dengan riwayat infark atau angina pektoris yang tidak stabil. Mengurangi risiko serangan iskemik sepintas (TIA) pada pasien dengan iskemia otak sementara
ASTIKA BOX,"65,000.00",RESEP DOKTER,Mengurangi risiko serangan infark miokard pada pasien dengan riwayat infark atau angina pektoris yang tidak stabil. Mengurangi risiko serangan iskemik sepintas (TIA) pada pasien dengan iskemia otak sementara
ASEPSO  80g,"11,000.00",BEBAS,merupakan sabun antiseptik yang digunakan untuk mengurangi biang keringat dan membersihkan kulit dari kuman penyebab penyakit kulit.
ANTIHEMOROID SUP,"5,000.00",RESEP DOKTER,"Obat digunakan untuk membantu mengobati wasir yang disertai dengan pendarahan, luka terbuka pada dubur, anal prolapse (adanya bagian dinding rektum keluar dari anus), periproctitis (peradangan pada rektum), serta gatal-gatal pada dubur."
ANTIHEMOROID ISI 10,"42,500.00",RESEP DOKTER,"Obat digunakan untuk membantu mengobati wasir yang disertai dengan pendarahan, luka terbuka pada dubur, anal prolapse (adanya bagian dinding rektum keluar dari anus), periproctitis (peradangan pada rektum), serta gatal-gatal pada dubur."
ANTRAIN,"16,000.00",RESEP DOKTER,"Antrain dapat meringankan rasa sakit, terutama nyeri kolik dan sakit setelah operasi."
AQUABIDEST 20ML GLOBAL,"6,500.00",BEBAS,Untuk melarutkan/mencairkan bahan kimia
ATORVASTATIN 10MG HJ BOX ISI 5,"75,000.00",RESEP DOKTER,Menurunkan kolesterol dan trigliserida dalam darah
AMARYL,"16,000.00",RESEP DOKTER,Amaryl digunakan sebagai obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
ASAM MEFENAMAT,"4,000.00",RESEP DOKTER,Manfaat obat ini adalah untuk meredakan nyeri dan memberi rasa nyaman.
AMINEFRON,"8,500.00",RESEP DOKTER,"Untuk pengobatan kelainan fungsi ginjal kronik bersamaan dengan diet tinggi kalori dan rendah protein, dalam retensi yang terkompensasi atau yang dekompensasi."
AMLODIPINE 5MG ETA,"3,500.00",RESEP DOKTER,"Obat ini bekerja dengan cara melemaskan otot pembuluh darah. Dengan begitu, pembuluh darah akan melebar, darah dapat mengalir dengan lebih lancar, dan tekanan darah dapat menurun."
AMBROXOL ERELA SYR,"7,500.00",RESEP DOKTER,Membantu mengencerkan dahak agar lebih mudah dikeluarkan dari tenggorokan saat batuk.
ANTASIDA LUCAS SYR,"6,000.00",BEBAS,Kandungan Alumunium Hydroxide dan Magnesium Hydroxide secara sinergis dapat bekerja dengan cepat dalam menurunkan asam lambung yang naik.
ANTASIDA IFI BOX,"12,500.00",BEBAS,"Obat yang digunakan untuk mengatasi gejala-gejala yang berhubungan dengan kelebihan asam lambung, seperti: Mual, Perih ulu hati, Kembung, Nyeri lambung."
ANTASIDA MERSI,"1,500.00",BEBAS,Magnesium Hidroksida (Mg (OH)3) berperan sebagai antasida untuk mengatasi tukak lambung dengan meningkatkan pH asam lambung melalui reaksi netralisasi.
ANDALAN POSPIL,"25,000.00",RESEP DOKTER,Obat ini bekerja dengan cara memperlambat atau mencegah terjadinya ovulasi sehingga tidak terjadi pembuahan.
AMLODIPINE 10MG SAMPH,"5,000.00",RESEP DOKTER,Amlodipine adalah obat untuk menurunkan tekanan darah pada penderita hipertensi.
ACNOL LOTION,"17,500.00",BEBAS,Acnol Lotion adalah lotion jerawat dengan kandungan Salicylic Acid yang bekerja mengikis lapisan terluar jerawat. Acnol Lotion ini berfungsi untuk mengurangi minyak berlebih dan mengeringkan jerawat pada kulit.
ASIFIT,"70,000.00",BEBAS,Suplemen ini membantu melancarkan asi ibu selama proses menyusui.
ANPIRIDE 2MG,"6,000.00",RESEP DOKTER,Anpiride digunakan sebagai obat anti diabetes mellitus tipe 2 atau Non-Insulin-Dependent (type II) Diabetes Melitus (NIDDM) dimana kadar glukosa darah tidak dapat hanya dikontrol dengan diet dan olahraga saja.
BECOM-C,"175,000.00",BEBAS,"Multivitamin kesehatan yang berfungsi sebagai terapi kekurangan vitamin B kompleks dan vitamin C, sehingga dapat membantu memenuhi kebutuhan vitamin pada masa pertumbuhan maupun pada masa penyembuhan."
BENADRYL SYR 50 ML,"22,500.00",BEBAS,"BENADRYL BATUK BERDAHAK SIRUP mengandung zat aktif Bromhexine HCl dan Guaifenesin, digunakan untuk mengatasi batuk berdahak dan mempermudah pengeluaran dahak. Obat ini tidak menyebabkan kantuk."
BENEURON,"5,000.00",BEBAS,"Memiliki kandungan bahan aktif vitamin B1, vitamin B6, dan vitamin B12 yang berfungsi untuk mengatasi peradangan pada saraf."
BENOSON,"20,000.00",RESEP DOKTER,Salep untuk mengatasi peradangan pada kulit atau mukosa yang disertai infeksi bakteri.
BISTURI BRAUN,"5,000.00",RESEP DOKTER,Pisau bedah steril yang digunakan untuk operasi. Bisturi ini terbuat dari bahan baja anti karat yang tidak mudah patah atau bengkok. Mata pisaunya yang tajam dapat memotong jaringan dengan luka atau trauma seminimal mungkin.
BENOSTAN,"4,000.00",RESEP DOKTER,"Digunakan untuk meredakan nyeri ringan hingga sedang pada sakit kepala, sakit gigi, dismenore primer, juga nyeri traumatik, otot, dan pasca operasi."
BETADIN ANTISEPTIC,"8,000.00",BEBAS,"Salep antiseptik untuk membunuh kuman penyebab infeksi pada luka seperti luka bakar, terpotong, luka sunat, luka tergores, dan luka kecil lainnya."
BETADINE,"260,000.00",BEBAS,Salep luka yang dapat digunakan untuk luka terbuka maupun luka bakar.
BETAMETHASONE,"5,000.00",RESEP DOKTER,"Obat kortikosteroid oles yang dapat digunakan untuk mengatasi reaksi alergi atau mengurangi peradangan kulit akibat sejumlah kondisi, seperti eksim serta dermatitis."
BETASON,"175,000.00",RESEP DOKTER,"Obat ini dapat digunakan untuk mengatasi reaksi alergi atau mengurangi peradangan kulit akibat sejumlah kondisi, seperti eksim serta dermatitis."
BETOMINPLEX 15,"13,500.00",BEBAS,Betominplex diindikasikan untuk mencegah dan mengatasi kekurangan vitamin B. 
BEVALEX,"12,500.00",RESEP DOKTER,Obat yang digunakan untuk mengobati penyakit kulit seperti manifestasi inflamasi dan pruritus pada psoriasis resisten atau berat dan dermatosis yang peka terhadap obat golongan kortikosteroid.
BIO ATP,"30,000.00",RESEP DOKTER,Zat aktif yang berperan dalam proses perubahan energi baik untuk menyimpan atau melepaskan energi dari tubuh.
BIOGESIC ,"3,000.00",BEBAS,"Obat ini dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam."
BIOVISION,"40,000.00",BEBAS,"Membantu mengatasi kelelahan ada mata yang disebabkan karena sering menggunakan komputer, menonton televisi dan membaca dalam waktu lama serta membantu menjaga kesehatan mata."
BABY COUGH UNI  SYR 12,"6,000.00",BEBAS,Obat batuk dan pilek untuk anak-anak yang dikemas dalam sediaan sirup.
BALSEM LANG 10 GR,"6,000.00",BEBAS,"Balsem gosok yang dapat membantu meredakan pusing, masuk angin, nyeri sendi, keseleo, melegakan pernafasan, mabuk perjalanan, serta mengurangi rasa gatal aibat gigitan serangga."
BALSEM OTOT GELIGA 10 GR,"6,000.00",BEBAS,"Obat gosok yang digunakan untuk membantu meredakan nyeri otot dan sendi seperti nyeri akibat pukulan/memar, keseleo dan nyeri otot punggung."
BALPIRIK MERAH,"13,000.00",BEBAS,"Balsam Untuk meringankan gejala flu, masuk angin, mabuk perjalanan, gatal akibat gigitan serangga, pegal dan kram otot."
BEDAK SALICYL PIM ,"5,000.00",BEBAS,Mengurangi gatal akibat biang keringat
BLACKMORES LUTEIN VISION,"50,000.00",BEBAS,Mengandung lutein dari ekstrak Tagetes erecta (marigold). Lutein bermanfaat untuk melindungi jaringan mata dari kerusakan akibat cahaya matahari.
BINTAMOX,"6,500.00",RESEP DOKTER,"Mengobati infeksi telinga tengah, radang tenggorokan, infeksi saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit dan jaringan lunak."
BONKAP,"30,000.00",BEBAS,Menghentikan rasa sakit akibat patah tulang atau tulang retak dan mempercepat pertumbuhan sel tulang dan otot.
PACDIN COUGH ,"6,500.00",BEBAS,"Mengatasi gejala flu seperti demam, sakit kepala, bersin-bersin, hidung tersumbat yang disertai batuk berdahak."
BARZEPIN,"275,000.00",RESEP DOKTER,Menangani kejang akibat epilepsi.
BABAODAN,"1,550,000.00",BEBAS,"Obat pengering habis operasi,liver,infeksi,demam"
BIOSANBE,"16,000.00",BEBAS,Suplemen yang mengandung vitamin dan mineral. Suplemen ini digunakan untuk mengatasi defisiensi zat besi maupun anemia pada ibu hamil terutama pada kehamilan trimester 1 dan 2 serta pada masa nifas.
REGIMUN,"350,000.00",RESEP DOKTER,Membantu memelihara daya tahan tubuh
K-FIX,"350,000.00",RESEP DOKTER,Membantu melancarkan buang air kecil yang disebabkan gangguan saluran kemih
VIRADEF,"650,000.00",RESEP DOKTER,"Obat antivirus herbal yang diproduksi oleh Biotek Farmasi. Viradef juga dapat dibundling dengan Regimun, yang diklaim dapat membantu menjaga daya tahan tubuh."
BETAHISTIN,"6,000.00",RESEP DOKTER,"Obat untuk meredakan keluhan vertigo, gangguan pendengaran, dan telinga berdenging (tinnitus) yang disebabkan oleh penyakit Meniere."
BRONCIFAR,"7,500.00",BEBAS,"Meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk."
BISOPROLOL,"5,000.00",RESEP DOKTER,"Obat untuk mengatasi hipertensi atau tekanan darah tinggi, angina pektoris, aritmia, dan gagal jantung."
BECOM-C,"25,000.00",BEBAS,Multivitamin kesehatan yang berfungsi sebagai terapi kekurangan vitamin B kompleks dan vitamin C
BECOM-ZET,"30,000.00",BEBAS,"Suplemen yang mengandung kombinasi antara multivitamin, mineral dan zinc yang berfungsi untuk memelihara daya tahan tubuh dan mempercepat pemulihan setelah sakit."
BISACODYL,"2,500.00",BEBAS,Obat untuk mengatasi sembelit atau konstipasi.
BIOSANBE,"16,000.00",BEBAS,Suplemen ini digunakan untuk mengatasi defisiensi zat besi maupun anemia pada ibu hamil terutama pada kehamilan trimester 1 dan 2 serta pada masa nifas.
BROMIFAR,"3,000.00",BEBAS,Obat yang mengandung bromhexine. Kandungan tersebut bekerja meredakan batuk berdahak dan mengencerkan dahak.
BINTAMOX SYR,"10,000.00",RESEP DOKTER,"Antibiotik golongan penicillin yang digunakan untuk mengobati infeksi saluran pernapasan bagian atas dan bawah, infeksi saluran kemih, infeksi saluran pencernaan, serta infeksi kulit dan jaringan lunak."
BODREX FLU&BATUK BERDAHAK,"2,500.00",BEBAS,"Obat ini mengatasi gejala flu seperti demam, sakit kepala, bersin-bersin dan hidung tersumbat yang disertai batuk berdahak."
BODREXIN DEMAM,"13,500.00",BEBAS,"Obat ini digunakan untuk menurunkan panas, meredakan rasa nyeri, dan demam setelah imunisasi pada anak."
BRONKRIS ,"2,500.00",RESEP DOKTER,Obat ini digunakan untuk mengatasi gangguan pada saluran pernapasan yang disebabkan oleh dahak/mukus yang berlebihan.
BETAMOL ,"3,500.00",BEBAS,"Obat ini juga berfungsi untuk meringankan nyeri ringan hingga sedang pada berbagai kondisi salah satunya pada sakit kepala, nyeri punggung, sakit gigi dan nyeri haid (dismenorea)."
BERZIN STRIP,"4,000.00",BEBAS,"Obat untuk meringankan gejala rinitis alergi seperti bersin, pilek dan mata berair."
BYE BYE FEVER ANAK,"12,000.00",BEBAS,"Bye Bye Fever Anak praktis digunakan saat demam, sakit kepala, sakit gigi, atau tempelkan pada badan saat cuaca panas."
BYE BYE FEVER BAYI,"9,000.00",BEBAS,"Bye Bye Fever Bayi adalah plester kompres yang digunakan untuk meredakan demam, sakit kepala, dan sakit gigi pada anak usia 0–2 tahun"
BRICOX,"30,000.00",RESEP DOKTER,Obat ini bekerja dengan cara mengencerkan dahak agar lebih mudah dikeluarkan dari tubuh saat batuk.
BODREX EXTRA ,"3,000.00",BEBAS,"Obat dengan kandungan Paracetamol, ibuprofen, caffeine. Obat ini dapat digunakan untuk meredakan sakit kepala pada migrain."
CEZZVIT,"6,500.00",BEBAS,"Suplemen yang mengandung vitamin C. Cezzvit digunakan sebagai suplementasi vitamin C, memenuhi kebutuhan vitamin C dalam tubuh, membantu memelihara daya tahan tubuh, membantu pembentukan kolagen, dapat mendukung kondisi penyembuhan setelah sakit/operasi serta bagi usia lanjut."
CALLUSOL,"35,000.00",BEBAS,"Larutan yang mengandung asam salisilat, asam laktat, dan polidocanol. Obat ini digunakan untuk mata ikan, kulit yang mengeras , kutil dan kalus (kapalan). Mata ikan, kulit yang mengeras , kutil dan kalus (kapalan)."
CAPTOPRIL,"3,000.00",RESEP DOKTER,"Obat untuk menurunkan tekanan darah, serta meningkatkan persediaan darah dan oksigen ke jantung."
CARGESIK,"5,000.00",RESEP DOKTER,"Cargesik mengandung asam mefenamat yang bermanfaat untuk meredakan nyeri ringan hingga sedang. Obat ini bisa digunakan untuk mengatasi nyeri akibat sakit gigi, nyeri haid, sakit kepala, atau radang sendi."
CARSIDA,"3,500.00",BEBAS,"Membantu mengatasi gangguan pada saluran pencernaan seperti gastritis, perut kembung, maag, dispepsia, hiatus hernia, tukak lambung dan usus duabelas jari."
CALFERA ,"5,000.00",BEBAS,"Suplemen yang diproduksi oleh Balatif. Suplemen ini dapat membantu mencukupi kebutuhan vitamin dan asam folat pada ibu hamil, menyusui, serta lansia"
